Dec;Hexa;Instruction;Natural size;Instruction CB;Size CB;Instruction ED;Size ED;Instruction DD;Size DD;Instruction FD;Size FD;Instruction DDCB;Size DDCB;Instruction FDCB;Size FDCB;
0;0;NOP;1;RLC B;1;;;;;;;;;;;
1;1;LD BC,nn;3;RLC C;1;;;;;;;;;;;
2;2;LD (BC),A;1;RLC D;1;;;;;;;;;;;
3;3;INC BC;1;RLC E;1;;;;;;;;;;;
4;4;INC C;1;RLC H;1;;;;;;;;;;;
5;5;DEC B;1;RLC L;1;;;;;;;;;;;
6;6;LD B,n;2;RLC (HL);1;;;;;;;RLC (IX+n);2;RLC (IY+n);2;inverted bytes
7;7;RLCA;1;RLC A;1;;;;;;;;;;;
8;8;EX AF,AF’;1;RRC B;1;;;;;;;;;;;
9;9;ADD HL,BC;1;RRC C;1;;;ADD IX,BC;1;ADD IY,BC;1;;;;;
10;A;LD A,(BC);1;RRC D;1;;;;;;;;;;;
11;B;DEC BC;1;RRC E;1;;;;;;;;;;;
12;C;INC C;1;RRC H;1;;;;;;;;;;;
13;D;DEC C;1;RRC L;1;;;;;;;;;;;
14;E;LD C,n;2;RRC (HL);1;;;;;;;RRC (IX+n);2;RRC (IY+n);2;inverted bytes
15;F;RRCA;1;RRC A;1;;;;;;;;;;;
16;10;DJ NZ d;2;RL B;1;;;;;;;;;;;
17;11;LD DE,nn;3;RL C;1;;;;;;;;;;;
18;12;LD (DE),A;1;RL D;1;;;;;;;;;;;
19;13;INC DE;1;RL E;1;;;;;;;;;;;
20;14;INC D;1;RL H;1;;;;;;;;;;;
21;15;DEC D;1;RL L;1;;;;;;;;;;;
22;16;LD D,n;2;RL (HL);1;;;;;;;RL (IX+d);2;RL (IY+d);2;inverted bytes
23;17;RLA;1;RL A;1;;;;;;;;;;;
24;18;JR d;2;RR B;1;;;;;;;;;;;
25;19;ADD HL,DE;1;RR C;1;;;ADD IX,DE;1;ADD IY,DE;1;;;;;
26;1A;LD A,(DE);1;RR D;1;;;;;;;;;;;
27;1B;DEC DE;1;RR E;1;;;;;;;;;;;
28;1C;INC E;1;RR H;1;;;;;;;;;;;
29;1D;DEC E;1;RR L;1;;;;;;;;;;;
30;1E;LD E,n;2;RR (HL);1;;;;;;;RR (IX+d);2;RR (IY+d);2;inverted bytes
31;1F;RRA;1;RR A;1;;;;;;;;;;;
32;20;JR NZ d;2;SLA B;1;;;;;;;;;;;
33;21;LD HL,nn;3;SLA C;1;;;LD IX,nn;3;LD IY,nn;3;;;;;
34;22;LD (nn),HL;3;SLA D;1;;;LD (nn),IX;3;LD (nn),IY;3;;;;;
35;23;INC HL;1;SLA E;1;;;INC  IX;1;INC  IY;1;;;;;
36;24;INC H;1;SLA H;1;;;;;;;;;;;
37;25;DEC H;1;SLA L;1;;;;;;;;;;;
38;26;LD H,n;2;SLA (HL);1;;;;;;;SLA (IX+d);2;SLA (IY+d);2;inverted bytes
39;27;DAA;1;SLA A;1;;;;;;;;;;;
40;28;JR Z,d;2;SRA B;1;;;;;;;;;;;
41;29;ADD HL,HL;1;SRA C;1;;;ADD IX,IX;1;ADD IY,IY;1;;;;;
42;2A;LD HL,(nn);3;SRA D;1;;;LD IX,(nn);3;LD IY,(nn);3;;;;;
43;2B;DEC HL;1;SRA E;1;;;DEC IX;1;DEC IY;1;;;;;
44;2C;INC L;1;SRA H;1;;;;;;;;;;;
45;2D;DEC L;1;SRA L;1;;;;;;;;;;;
46;2E;LD L,n;2;SRA (HL);1;;;;;;;SRA (IX+d);2;SRA (IY+d);2;inverted bytes
47;2F;CPL;1;SRA A;1;;;;;;;;;;;
48;30;JR NC d;2;;;;;;;;;;;;;
49;31;LD SP,nn;3;;;;;;;;;;;;;
50;32;LD (nn),A;3;;;;;;;;;;;;;
51;33;INC SP;1;;;;;;;;;;;;;
52;34;INC (HL);1;;;;;INC (IX+d);2;INC (IY+d);2;;;;;
53;35;DEC (HL);1;;;;;DEC (IX+d);2;DEC (IY+d);2;;;;;
54;36;LD (HL),n;2;;;;;LD (IX+d),n;3;LD (IY+d),n;3;;;;;
55;37;SCF;1;;;;;;;;;;;;;
56;38;JR C d;2;SRL B;1;;;;;;;;;;;
57;39;ADD HL,SP;1;SRL C;1;;;ADD IX,SP;1;ADD IY,SP;1;;;;;
58;3A;LD A,(nn);3;SRL D;1;;;;;;;;;;;
59;3B;DEC SP;1;SRL E;1;;;;;;;;;;;
60;3C;INC A;1;SRL H;1;;;;;;;;;;;
61;3D;DEC A;1;SRL L;1;;;;;;;;;;;
62;3E;LD A,n;2;SRL (HL);1;;;;;;;SRL (IX+d);2;SLR (IY+d);2;inverted bytes
63;3F;CCF;1;SRL A;1;;;;;;;;;;;
64;40;;1;;1;IN B,(C);1;;;;;;;;;
65;41;;1;;1;OUT (C),B;1;;;;;;;;;
66;42;;1;;1;SBC HL,BC;1;;;;;;;;;
67;43;;1;;1;LD (nn),BC;3;;;;;;;;;
68;44;;1;;1;NEG;1;;;;;;;;;
69;45;;1;;1;RET N;1;;;;;;;;;
70;46;;1;;1;IM 0;1;LD B,(IX+d);2;LD B,(IY+d);2;BIT 0,(IX+D);2;BIT 0,(IY+D);2;inverted bytes
71;47;;1;;1;LD I,A;1;;;;;;;;;
72;48;;1;;1;IN C,(C);1;;;;;;;;;
73;49;;1;;1;OUT C,(C);1;;;;;;;;;
74;4A;;1;;1;ADC HL,BC;1;;;;;;;;;
75;4B;;1;;1;LD BC,(nn);3;;;;;;;;;
76;4C;;1;;1;;;;;;;;;;;
77;4D;;1;;1;RETI;1;;;;;;;;;
78;4E;;1;;1;;;LD C,(IX+d);2;LD C,(IY+d);2;BIT 1,(IX+D);2;BIT 1,(IY+D);2;inverted bytes
79;4F;;1;;1;LD R,A;1;;;;;;;;;
80;50;;1;;1;IN D,(C);1;;;;;;;;;
81;51;;1;;1;OUT (D),C;1;;;;;;;;;
82;52;;1;;1;SBC HL,DE;1;;;;;;;;;
83;53;;1;;1;LD (nn),DE;3;;;;;;;;;
